taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit,,,
.\data\task_87,Design E 90% p2_120000,80.877540000,46.886720000,Design E,1.495926000,0.900000000,GAC,0.960000000,.\data\task_87\rotor1\Mis_line1d_mid_rotor1_task_87.json,.\data\task_87\rotor2\Mis_line1d_mid_rotor2_task_87.json,.\data\task_87\rotor3\Mis_line1d_mid_rotor3_task_87.json,.\data\task_87\stator1\Mis_line1d_mid_stator1_task_87.json,.\data\task_87\stator2\Mis_line1d_mid_stator2_task_87.json,.\data\task_87\stator3\Mis_line1d_mid_stator3_task_87.json,.\data\task_87\rotor1\ent_area2d_exit_rotor1_task_87.json,.\data\task_87\rotor2\ent_area2d_exit_rotor2_task_87.json,.\data\task_87\rotor3\ent_area2d_exit_rotor3_task_87.json,.\data\task_87\stator1\ent_area2d_exit_stator1_task_87.json,.\data\task_87\stator2\ent_area2d_exit_stator2_task_87.json,.\data\task_87\stator3\ent_area2d_exit_stator3_task_87.json,,,
.\data\task_88,Design E 90% p2_130000,85.775850000,46.857960000,Design E,1.560861000,0.900000000,DA,1.000000000,.\data\task_88\rotor1\Mis_line1d_mid_rotor1_task_88.json,.\data\task_88\rotor2\Mis_line1d_mid_rotor2_task_88.json,.\data\task_88\rotor3\Mis_line1d_mid_rotor3_task_88.json,.\data\task_88\stator1\Mis_line1d_mid_stator1_task_88.json,.\data\task_88\stator2\Mis_line1d_mid_stator2_task_88.json,.\data\task_88\stator3\Mis_line1d_mid_stator3_task_88.json,.\data\task_88\rotor1\ent_area2d_exit_rotor1_task_88.json,.\data\task_88\rotor2\ent_area2d_exit_rotor2_task_88.json,.\data\task_88\rotor3\ent_area2d_exit_rotor3_task_88.json,.\data\task_88\stator1\ent_area2d_exit_stator1_task_88.json,.\data\task_88\stator2\ent_area2d_exit_stator2_task_88.json,.\data\task_88\stator3\ent_area2d_exit_stator3_task_88.json,,,
.\data\task_89,Design E 90% p2_140000,90.177890000,46.398290000,Design E,1.636157000,0.900000000,GAC,1.040000000,.\data\task_89\rotor1\Mis_line1d_mid_rotor1_task_89.json,.\data\task_89\rotor2\Mis_line1d_mid_rotor2_task_89.json,.\data\task_89\rotor3\Mis_line1d_mid_rotor3_task_89.json,.\data\task_89\stator1\Mis_line1d_mid_stator1_task_89.json,.\data\task_89\stator2\Mis_line1d_mid_stator2_task_89.json,.\data\task_89\stator3\Mis_line1d_mid_stator3_task_89.json,.\data\task_89\rotor1\ent_area2d_exit_rotor1_task_89.json,.\data\task_89\rotor2\ent_area2d_exit_rotor2_task_89.json,.\data\task_89\rotor3\ent_area2d_exit_rotor3_task_89.json,.\data\task_89\stator1\ent_area2d_exit_stator1_task_89.json,.\data\task_89\stator2\ent_area2d_exit_stator2_task_89.json,.\data\task_89\stator3\ent_area2d_exit_stator3_task_89.json,,,
.\data\task_90,Design E 90% p2_150000,91.965880000,45.311780000,Design E,1.711298000,0.900000000,DA,0.960000000,.\data\task_90\rotor1\Mis_line1d_mid_rotor1_task_90.json,.\data\task_90\rotor2\Mis_line1d_mid_rotor2_task_90.json,.\data\task_90\rotor3\Mis_line1d_mid_rotor3_task_90.json,.\data\task_90\stator1\Mis_line1d_mid_stator1_task_90.json,.\data\task_90\stator2\Mis_line1d_mid_stator2_task_90.json,.\data\task_90\stator3\Mis_line1d_mid_stator3_task_90.json,.\data\task_90\rotor1\ent_area2d_exit_rotor1_task_90.json,.\data\task_90\rotor2\ent_area2d_exit_rotor2_task_90.json,.\data\task_90\rotor3\ent_area2d_exit_rotor3_task_90.json,.\data\task_90\stator1\ent_area2d_exit_stator1_task_90.json,.\data\task_90\stator2\ent_area2d_exit_stator2_task_90.json,.\data\task_90\stator3\ent_area2d_exit_stator3_task_90.json,,,
.\data\task_91,Design E 90% p2_160000,92.884770000,43.879720000,Design E,1.787924000,0.900000000,GAC,1.000000000,.\data\task_91\rotor1\Mis_line1d_mid_rotor1_task_91.json,.\data\task_91\rotor2\Mis_line1d_mid_rotor2_task_91.json,.\data\task_91\rotor3\Mis_line1d_mid_rotor3_task_91.json,.\data\task_91\stator1\Mis_line1d_mid_stator1_task_91.json,.\data\task_91\stator2\Mis_line1d_mid_stator2_task_91.json,.\data\task_91\stator3\Mis_line1d_mid_stator3_task_91.json,.\data\task_91\rotor1\ent_area2d_exit_rotor1_task_91.json,.\data\task_91\rotor2\ent_area2d_exit_rotor2_task_91.json,.\data\task_91\rotor3\ent_area2d_exit_rotor3_task_91.json,.\data\task_91\stator1\ent_area2d_exit_stator1_task_91.json,.\data\task_91\stator2\ent_area2d_exit_stator2_task_91.json,.\data\task_91\stator3\ent_area2d_exit_stator3_task_91.json,,,
.\data\task_92,Design E 90% p2_170000,93.075690000,41.903970000,Design E,1.864708000,0.900000000,DA,1.040000000,.\data\task_92\rotor1\Mis_line1d_mid_rotor1_task_92.json,.\data\task_92\rotor2\Mis_line1d_mid_rotor2_task_92.json,.\data\task_92\rotor3\Mis_line1d_mid_rotor3_task_92.json,.\data\task_92\stator1\Mis_line1d_mid_stator1_task_92.json,.\data\task_92\stator2\Mis_line1d_mid_stator2_task_92.json,.\data\task_92\stator3\Mis_line1d_mid_stator3_task_92.json,.\data\task_92\rotor1\ent_area2d_exit_rotor1_task_92.json,.\data\task_92\rotor2\ent_area2d_exit_rotor2_task_92.json,.\data\task_92\rotor3\ent_area2d_exit_rotor3_task_92.json,.\data\task_92\stator1\ent_area2d_exit_stator1_task_92.json,.\data\task_92\stator2\ent_area2d_exit_stator2_task_92.json,.\data\task_92\stator3\ent_area2d_exit_stator3_task_92.json,,,
.\data\task_93,Design E 80% p2_90000,64.452960000,42.156330000,Design E,1.258990000,0.800000000,GAC,0.960000000,.\data\task_93\rotor1\Mis_line1d_mid_rotor1_task_93.json,.\data\task_93\rotor2\Mis_line1d_mid_rotor2_task_93.json,.\data\task_93\rotor3\Mis_line1d_mid_rotor3_task_93.json,.\data\task_93\stator1\Mis_line1d_mid_stator1_task_93.json,.\data\task_93\stator2\Mis_line1d_mid_stator2_task_93.json,.\data\task_93\stator3\Mis_line1d_mid_stator3_task_93.json,.\data\task_93\rotor1\ent_area2d_exit_rotor1_task_93.json,.\data\task_93\rotor2\ent_area2d_exit_rotor2_task_93.json,.\data\task_93\rotor3\ent_area2d_exit_rotor3_task_93.json,.\data\task_93\stator1\ent_area2d_exit_stator1_task_93.json,.\data\task_93\stator2\ent_area2d_exit_stator2_task_93.json,.\data\task_93\stator3\ent_area2d_exit_stator3_task_93.json,,,
.\data\task_94,Design E 80% p2_100000,70.660780000,42.148450000,Design E,1.296783000,0.800000000,DA,1.000000000,.\data\task_94\rotor1\Mis_line1d_mid_rotor1_task_94.json,.\data\task_94\rotor2\Mis_line1d_mid_rotor2_task_94.json,.\data\task_94\rotor3\Mis_line1d_mid_rotor3_task_94.json,.\data\task_94\stator1\Mis_line1d_mid_stator1_task_94.json,.\data\task_94\stator2\Mis_line1d_mid_stator2_task_94.json,.\data\task_94\stator3\Mis_line1d_mid_stator3_task_94.json,.\data\task_94\rotor1\ent_area2d_exit_rotor1_task_94.json,.\data\task_94\rotor2\ent_area2d_exit_rotor2_task_94.json,.\data\task_94\rotor3\ent_area2d_exit_rotor3_task_94.json,.\data\task_94\stator1\ent_area2d_exit_stator1_task_94.json,.\data\task_94\stator2\ent_area2d_exit_stator2_task_94.json,.\data\task_94\stator3\ent_area2d_exit_stator3_task_94.json,,,
.\data\task_95,Design E 80% p2_110000,79.438310000,42.122170000,Design E,1.348944000,0.800000000,GAC,1.040000000,.\data\task_95\rotor1\Mis_line1d_mid_rotor1_task_95.json,.\data\task_95\rotor2\Mis_line1d_mid_rotor2_task_95.json,.\data\task_95\rotor3\Mis_line1d_mid_rotor3_task_95.json,.\data\task_95\stator1\Mis_line1d_mid_stator1_task_95.json,.\data\task_95\stator2\Mis_line1d_mid_stator2_task_95.json,.\data\task_95\stator3\Mis_line1d_mid_stator3_task_95.json,.\data\task_95\rotor1\ent_area2d_exit_rotor1_task_95.json,.\data\task_95\rotor2\ent_area2d_exit_rotor2_task_95.json,.\data\task_95\rotor3\ent_area2d_exit_rotor3_task_95.json,.\data\task_95\stator1\ent_area2d_exit_stator1_task_95.json,.\data\task_95\stator2\ent_area2d_exit_stator2_task_95.json,.\data\task_95\stator3\ent_area2d_exit_stator3_task_95.json,,,
.\data\task_96,Design E 80% p2_120000,86.852610000,41.671310000,Design E,1.415367000,0.800000000,DA,0.960000000,.\data\task_96\rotor1\Mis_line1d_mid_rotor1_task_96.json,.\data\task_96\rotor2\Mis_line1d_mid_rotor2_task_96.json,.\data\task_96\rotor3\Mis_line1d_mid_rotor3_task_96.json,.\data\task_96\stator1\Mis_line1d_mid_stator1_task_96.json,.\data\task_96\stator2\Mis_line1d_mid_stator2_task_96.json,.\data\task_96\stator3\Mis_line1d_mid_stator3_task_96.json,.\data\task_96\rotor1\ent_area2d_exit_rotor1_task_96.json,.\data\task_96\rotor2\ent_area2d_exit_rotor2_task_96.json,.\data\task_96\rotor3\ent_area2d_exit_rotor3_task_96.json,.\data\task_96\stator1\ent_area2d_exit_stator1_task_96.json,.\data\task_96\stator2\ent_area2d_exit_stator2_task_96.json,.\data\task_96\stator3\ent_area2d_exit_stator3_task_96.json,,,
.\data\task_97,Design E 80% p2_130000,90.680430000,40.506460000,Design E,1.487385000,0.800000000,GAC,1.000000000,.\data\task_97\rotor1\Mis_line1d_mid_rotor1_task_97.json,.\data\task_97\rotor2\Mis_line1d_mid_rotor2_task_97.json,.\data\task_97\rotor3\Mis_line1d_mid_rotor3_task_97.json,.\data\task_97\stator1\Mis_line1d_mid_stator1_task_97.json,.\data\task_97\stator2\Mis_line1d_mid_stator2_task_97.json,.\data\task_97\stator3\Mis_line1d_mid_stator3_task_97.json,.\data\task_97\rotor1\ent_area2d_exit_rotor1_task_97.json,.\data\task_97\rotor2\ent_area2d_exit_rotor2_task_97.json,.\data\task_97\rotor3\ent_area2d_exit_rotor3_task_97.json,.\data\task_97\stator1\ent_area2d_exit_stator1_task_97.json,.\data\task_97\stator2\ent_area2d_exit_stator2_task_97.json,.\data\task_97\stator3\ent_area2d_exit_stator3_task_97.json,,,
.\data\task_98,Design E 80% p2_140000,92.488010000,38.828430000,Design E,1.561165000,0.800000000,DA,1.040000000,.\data\task_98\rotor1\Mis_line1d_mid_rotor1_task_98.json,.\data\task_98\rotor2\Mis_line1d_mid_rotor2_task_98.json,.\data\task_98\rotor3\Mis_line1d_mid_rotor3_task_98.json,.\data\task_98\stator1\Mis_line1d_mid_stator1_task_98.json,.\data\task_98\stator2\Mis_line1d_mid_stator2_task_98.json,.\data\task_98\stator3\Mis_line1d_mid_stator3_task_98.json,.\data\task_98\rotor1\ent_area2d_exit_rotor1_task_98.json,.\data\task_98\rotor2\ent_area2d_exit_rotor2_task_98.json,.\data\task_98\rotor3\ent_area2d_exit_rotor3_task_98.json,.\data\task_98\stator1\ent_area2d_exit_stator1_task_98.json,.\data\task_98\stator2\ent_area2d_exit_stator2_task_98.json,.\data\task_98\stator3\ent_area2d_exit_stator3_task_98.json,,,
.\data\task_99,Design E 80% p2_150000,93.018190000,36.565810000,Design E,1.635217000,0.800000000,GAC,0.960000000,.\data\task_99\rotor1\Mis_line1d_mid_rotor1_task_99.json,.\data\task_99\rotor2\Mis_line1d_mid_rotor2_task_99.json,.\data\task_99\rotor3\Mis_line1d_mid_rotor3_task_99.json,.\data\task_99\stator1\Mis_line1d_mid_stator1_task_99.json,.\data\task_99\stator2\Mis_line1d_mid_stator2_task_99.json,.\data\task_99\stator3\Mis_line1d_mid_stator3_task_99.json,.\data\task_99\rotor1\ent_area2d_exit_rotor1_task_99.json,.\data\task_99\rotor2\ent_area2d_exit_rotor2_task_99.json,.\data\task_99\rotor3\ent_area2d_exit_rotor3_task_99.json,.\data\task_99\stator1\ent_area2d_exit_stator1_task_99.json,.\data\task_99\stator2\ent_area2d_exit_stator2_task_99.json,.\data\task_99\stator3\ent_area2d_exit_stator3_task_99.json,,,
